Key,Summary,Project,Assignee,Description,Status,Issue Type,Created Date,Comments
SH-5488,please share last gasp of the following list of meters,Success Hub,Lyba Noor,please share last gasp of the following list of meters-  Last gasp data.xlsx,Close,Issue,2025-05-02T14:57:12.325+0530,"Lyba Noor: Hi      | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5487,Sikkim Anvil: BP not available for HTCT meters. ,Success Hub,Ansh Sharma,"Dear   , Please look into below attached meters as no BP is available since first communication. CC:     FYI only.",Open,Service Request,2025-05-02T14:52:52.038+0530,"Aditya Pradhan: Dear  , Please update above four HTCT meters. CC:     FYI only."
SH-5486,Power Outage Data Required for April,Success Hub,Parveen Soni,No description,Close,Service Request,2025-05-02T14:48:38.994+0530,"Yash Jain: Hi   , please share the outage data for the following list of meters for April.   | Parveen Soni:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5485,LS (Push) data is not available for HTCT TCP Meters || ANVIL Sikkim ||,Success Hub,Ansh Sharma,LS (Push) data is not available for HTCT TCP Meters- Observations-   Please look into it the behaviour of meters has been changed after the latest deployment.      FYI,Close,Issue,2025-05-02T14:45:42.367+0530,"Ansh Sharma: Hi   just got a confirmation with devs that in the new code we LS push data for TCP meters is not recieved. There is a key for it , after enabling that we can recieve the LS push data but the gap reading might misbehave due to this so it is adivised if SLA is getting achieved through gap reading for TCP meters we keep the push data off. | Rahul Verma:  Can you please confirm that if we enable the key gap reading misbehave only for tcp meters or for all types of meters. | Ansh Sharma: No as per I know it can misbehave only for tcp meters.  | Rahul Verma:  No Gap reading is working on TCP meters. We cannot stop Push data because client have access of HES. So please enable the Key. | Ansh Sharma: I have enabled the key and the push data of blockload profile is coming now. Below is the attached ss  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5484,DP meter data is not showing for all 3P meters MCL,Success Hub,Ritik Kumar, Please check the DP data for all 3P meters are not showing in meter data HES. Attaching some screenshot for reference. cc:       ,Open,Issue,2025-05-02T14:41:00.234+0530,"Pratik Thakre:  Please check this issue, the DP data is not showing on HES UI for 3P meters cc:       "
SH-5482,Register 2 Nos 1-phmeter on WB_Apraava Prod Server,Success Hub,Ritik Kumar,"Hi, Please register 2 meters on WB_Apraava Prod. Meter Type - Single phase. Communication type- TCP Template ID - 35 Meter numbers 7 Sim IP -  Please take all other necessary details like keys & current ratings etc from any one RF 1-ph meter from prod itself.",Close,Issue,2025-05-02T12:58:59.524+0530,"Ritik Kumar:  | Ritik Kumar: , these meters are already present in the nameplate table registered as rf meters | Ritik Kumar: convert them as TCP as per your confirmation on teams | Karan Agrawal:   Meters are not registered please check once again the already registered meter number having different meter numbers. | Ritik Kumar: closing this as these are registered and confirmed by you also. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5481,Power Outage Events required for Intelli Pkg 7 ,Success Hub,Nikhil Kumar,No description,Review,Service Request,2025-05-02T12:43:23.722+0530,"Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5479,Sikkim Anvil: Requirement of power outage data for the month of April for SLA exclusion.,Success Hub,Ansh Sharma,"Dear  , Please share power outage data for the month of April. CC:     FYI only.",Close,Service Request,2025-05-02T11:38:30.751+0530,"Ansh Sharma:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5478,All gateways are offline for SAV,Success Hub,Parveen Soni,,Close,Incident,2025-05-02T10:59:50.024+0530,Parveen Soni: Its resolved
SH-5476,Intelli Pkg-1&2 Weekly RC-DC command monitoring.,Success Hub,Parveen Soni,No description,Review,Service Request,2025-05-02T10:29:23.791+0530,"Krishnamani: Dc commands arenot processing ,kindly check    | Parveen Soni: pending-429	 on pick 68 success-3487 | Parveen Soni:  check the status now | Krishnamani: Routing available , dc command is processing but  not getting success, kindly check    | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5472,RC-DC Power Outage exclusion required 21st april to 30th april,Success Hub,Naman,No description,Review,Service Request,2025-05-02T03:03:57.880+0530,"Akhtar Nawaz:  | Naman: PFA the required data, shared over chat previously - 101_102_Event_list needed.xlsx Moving this in review | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5467,Update TCP meter IP address in APRAAVA APDCL,Success Hub,Shiva Sharma,We have found duplicate IP address so airtel team update the IP address for all meters. so please update IP address as per attached sheet.,Open,Service Request,2025-05-01T23:58:25.322+0530,
SH-5451,Success rate for syncRTCv2 command is very low- 0.19%,Success Hub,Ritik Kumar,  Please check Success rate for syncRTCv2 command is very low the below table shows today's success rate for different HES commands the syncRTCv2 command success rate is 0.19% maximum commands are getting failed      ,In Progress,Issue,2025-05-01T17:16:57.533+0530,"Ritik Kumar:   thsi was realted to teh routing issue,  it must have been resolved now, can you please confirm  | Pratik Thakre:  Success % is very low of last 5 days attaching table for reference"
SH-5450,Bill data validation required,Success Hub,Naman,No description,In Progress,Issue,2025-05-01T16:45:58.082+0530,"Sujata Saikia: Any update?    | Naman:   Please find the below sheet with Progress - Bill_Validation_May25.xlsx As of now 110 remains, rest have been validated and repushed. Will work on remaining too shortly CC:    | Sujata Saikia:  Any update on the rest of the meters?"
SH-5448,Sikkim Anvil: Required BP data for validation.,Success Hub,Ansh Sharma,Required BP data for validation as one week ticket has been created for the 72 hours and 168 hours SLA. CC:     FYI only.,In Progress,Service Request,2025-05-01T15:25:46.608+0530,"Aditya Pradhan: Dear  , Please share the invalid meter list for validation. CC:     "
SH-5447,Meters in constant routing but IP pull is not working after 15th- april,Success Hub,Parveen Soni,Below 3-phase meters of Firozpur are not giving IP since 15th April as the IP pull stopped after the same:-  ,Close,Issue,2025-05-01T15:17:47.829+0530,"Parveen Soni: Both are in communication and IP is also updating now. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5446,SECURE METER MAY - 2025 BILLING PENDING DUE TO VALIDATION ,Success Hub,Nikhil Kumar,"Secure meter billing profile stuck at validation. Kindly check the attached list of meters. Hi    as discussed validate only those meters where Import mode billing is 30-04-2025 18:30:00 Thanks and Regards, PRAYAS PATRA",Review,Issue,2025-05-01T14:23:16.456+0530,"Nikhil Kumar:   | Nikhil Kumar: GSF0000136 GSF0000886 GSF0000888 only these meters have the import mode billing date as 30-04-2025 18:30:00, validated these 3 meters!!! | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5444,SLA packet received but Billing data Not available ,Success Hub,Ritik Kumar,"    Sir, there are total 9065 meters for which 12hrs SLA packet received but Billing data is not showing in Meter data section in HES    Can you please help us to check the data in DB for these meters the list is attached herewith  CC:     ",Open,Issue,2025-05-01T13:50:09.500+0530,"Manoj Kumar: Hi    i think you have assigned to the wrong Manoj | Pratik Thakre: Mistake my appolgy  | Pratik Thakre:  Any update on this | Pratik Thakre:  Please check the data in DB for these meters, as per our validation team the data might have struck in validation. cc:     "
SH-5443,AMI 1&2 : 1L+ unbilled meters for May'25,Success Hub,Ansh Sharma,109040 meters are unbilled - we are initiating commands from our end. Please validate the data. cc :   sir   sir   sir,Close,Issue,2025-05-01T13:37:39.256+0530,"Satya Brat Nath:    1) For TOD please validate by matching the sum with CKw ( Divide and insert the difference in each TOD) 2) MD Kw > MD Kv - Please validate after comparing to IP if data is correct then we can swap and insert accordingly. 8k+ pending unbilled please validate them as we are not achieving the SLA  | Satya Brat Nath: Please validate these unbilled    | Ansh Sharma: As discussed, I have validated all bills within scope few are remaining with multiple errorcodes or threshhold exceeded. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5442,Last IP data required (Meter list Provided in teams),Success Hub,Naman,No description,Close,Service Request,2025-05-01T13:22:50.345+0530,"Naman: PFA the required data - Latest IP _Last_7_Days.xlsx   sir, moving this in review. Let me know if anything remains, | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5441,Commands with zero tries which needs to be failed,Success Hub,Lyba Noor,please fail the given list of commands ,Close,Issue,2025-05-01T13:09:42.005+0530,"Lyba Noor: Hi    failed the pending commands. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5440,GR for Billing is not initiated on this list of meters while being in comm.,Success Hub,Lyba Noor,please check GR for Billing is not initiated on this list of meters while being in comm.,In Progress,Issue,2025-05-01T13:04:08.833+0530,"Lyba Noor: Hi    out of the given meters, around 100 meters have the billing data therefore GR commands not initiated. I am attaching sheet of those meters.    "
SH-5439,ESW Data Required,Success Hub,Naman,No description,Close,Service Request,2025-05-01T11:58:17.955+0530,"Naman: PFA -  ESW Needed.xlsx The required data.   let me know if anything is remaining. Moving this in review | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5437,Sikkim Anvil: Requirement of DB data for LS and DP of Feb and Mar'2025 separately.,Success Hub,Ansh Sharma,"Dear   , Please share the 8 hours ,12 hours LS and 24 hours DP to maintain the SLA for sign off.  Please share the earlier as its very urgent. CC:     FYI only.",Close,Service Request,2025-05-01T11:52:18.199+0530,"Aditya Pradhan: Dear   Please share the data for MARCH too. CC:   FYI only | Ansh Sharma:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5436,Gap Filling required for SAT 4 Meters.,Success Hub,Naman,No description,Close,Service Request,2025-05-01T11:50:18.847+0530,"Naman: Update - We had successfully added GR for backfilling the missed packets for SAT Meters and successfuly performed 10% LS ODR Test Case. Moving this in review.   Let me know if anything is remaining. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5435,AMI 1&2 : Requirement of Bill data from 1st to 6th May,Success Hub,Ansh Sharma,No description,Close,Service Request,2025-05-01T11:44:41.013+0530,"Satya Brat Nath:   Please share the bill data | Ansh Sharma:  | Ansh Sharma: As discussed please get the data from CSDataVault | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5434,please share data of all the invalid bills in this cycle,Success Hub,Lyba Noor,please share data of all the invalid bills in this cycle there are 1300+ meters on which getbilling commands have been successful but bills are not present in the HES CC-   ,Close,Issue,2025-05-01T11:39:33.246+0530,"Lyba Noor: Hi    can you share the meter list | Lyba Noor: Hi    Attaching the sheet of invalidated bills data.   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5433,Billing Pkg-7 April'25,Success Hub,Naman,No description,In Progress,Service Request,2025-05-01T10:30:06.808+0530,"Yash Jain: Hi   please find the list of meters where GR is success, but bill data is not available. Please check.   | Saiful Ali Khan:  pl share bill data  | Naman:         - Update: I have validated most of the bills that could be manually validated and updated the corresponding entries in the sheet. For bills with validation errors—such as 2047, 1051, and similar cases—I will be sharing a dump of the bill data. These errors result from a bitwise combination of multiple validation issues within a single bill, making it difficult to identify the exact corrections needed. Kindly review the data and let me know what should be updated and i will repush the same with those cases. I will continue updating the same sheet with the remaining validations. So far, out of the raised 1274 Meters, 272 remains. GR Success but bill not available.xlsx"
SH-5431,6 Nos. Packets missed in Gap reading(GRBlockload) commands for Feeder Meter Prod_GVPR,Success Hub,Nikhil Kumar,"Issue- 6 Nos packets are not being added in Gap reading commands for GVPR prod.  Gap Reading_ The structure of gap reading defined contains missed packets of 00:15,04:15, 8:15, (AM &PM) which only fulfils 90 packets out of 96 packets which leads to SLA breach? Issue reason to find : Who validated the Secure Feeder meter Gap reading commands from Validation team of CS?  Kindly do needful and pull all previous packets as well since meters are to be taken for SAT-2. Added GR commands for 1 meter below:",Open,Issue,2025-05-01T08:48:59.973+0530,
SH-5430,Intelli Pkg-1&2 Billing May'25,Success Hub,Jagdeep Arry,No description,Review,Service Request,2025-05-01T08:04:31.426+0530,"Saiful Ali Khan:  pl share bill data | Parveen Soni: Book1 (1).xlsx | Parveen Soni: Pkg 1-2 bill data Apr 2025.1.b.xlsx | Saiful Ali Khan:  I am sharing the list of meters whose billing command is successful, but you have to validate the bill data.   CC:      | Saiful Ali Khan:  please share updated bill data  | Parveen Soni: pkg 1-2 billing data Apr 2025.2.a.xlsx | Saiful Ali Khan:  I am sharing latest list of meters whose billing command is successful, but you have to validate the bill data.   | Saiful Ali Khan:  pl share Bill data  | Parveen Soni: pkg 1-2 bill data April 2025.2.b.xlsx | Parveen Soni: pkg 1-2 bill data Apr 2025.3.a.xlsx | Saiful Ali Khan:  ji still 3200 pending for validate bill data please do it as soon as possible.  we need to complete today. | Bedanta Borah:  Sir, as discussed please support to validate the bill data, approx. 3200 meters are pending as of now. CC:    | Saiful Ali Khan:   Sir , sharing new meter list.   CC :        | Parveen Soni:    invalid bill data has been shared on the chat group kindly do the needful so I can proceed for the validation. | Parveen Soni: pkg 1-2 bill data April 2025.3.b.xlsx | Parveen Soni: share meter’s detail for manual bills | Saiful Ali Khan:  Many commands have been successful, please check how many more meters of data can be validated.    | Parveen Soni: pkg 1-2 bill data April 2025.4.a.xlsx | Parveen Soni: 2910.xlsx  invalid bills | Saiful Ali Khan:  pl share 01-05-2025 12:00:00AM,  IP data of these meters. | Parveen Soni: IP DATA April 30 2025.xlsx | Parveen Soni: Validate bills with Manual bills April 2025.xlsx | Saiful Ali Khan:  ji,  The bill data you have shared has the manual bill data of 700 meters given by you but I could not find the bill data of these meters in the invalid bill data you have shared. Did these meters not generate any bill data?  Please check further whether you can validate the bills of other meters or not as we cannot share the manual bills of so many meters. CC:-   Da,  Da,    Sir, | Parveen Soni: no bills for these meters | Parveen Soni: pkg 1-2 billdata April 2025.4.c.xlsx | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5427,Gap reading commands are not being added ,Success Hub,Ansh Sharma,No description,Close,Incident,2025-05-01T04:49:45.065+0530,"Ayush Rajput: Today ,In HP Apraava also, 37 lakhs commands were added till now. | Ansh Sharma: There were 2 main issues observed in Gap Reading.  | Ranjeet Singh: deployment planned under -     | Ansh Sharma: With the recent tags being deployed gap reading is working as expected."
SH-5424,Routing not getting updated and ODR getting failed in TCP meters,Success Hub,Shiva Sharma,  kindly check why routing is not getting updated for all TCP meters. GR commands not getting added because of this. Also ODR in all meters are getting failed cc     ,Open,Issue,2025-05-01T02:24:51.347+0530,
SH-5417,Callback Samples needed for EHES from Arunachal T&D/Prod,Success Hub,Nikhil Kumar,No description,Close,Task,2025-04-30T18:17:15.149+0530,"Nikhil Kumar: shared on the Group chat with updated docs file | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5413,Very low or negligible routing on recently installed gateways & routing affected in MCL,Success Hub,Muzahid Ul Islam," Sir, recently MCL team has installed new gateways on site MCSU107200, MCSU107214, MCSU107228,MCSU107229. Initially one gateway MCSU07214 installed on site it was showing online on DMS but meters were not latch to it I thought the problem is with Gateway but after installing 4 gateways very low meters were latched to it I confirm from the field team the meters are getting connected to it by seeing blink led on meters but meters are not showing in HES routing please check. Attaching DMS photo of these Gateways for reference. Also nearly 200 meters are showing in routine since 1hr      ",Open,Issue,2025-04-30T17:01:49.212+0530,"Pratik Thakre:  Can you please check today total 111 meters are showing in routing, but on RF communication dashboard the count is approx.28000 | Pratik Thakre:    Please check the routing is still affected in MCL-HES, disk space is increased but routing of meters is still not showing in current routing section please find the status of routing as of today in below table also attaching file for reference, | Shivam Kumar:  I have restarted the broker but need to find out why this is happening again and again.  Three problem I find majorly    Please find the logs of container wnt_mqttbroker  . Hundreds of MQTT clients are connecting but  failing to authenticate  because  no authentication hook is configured or working .   CC :     | Muzahid Ul Islam:  what is the application version which is installed? 4.3 or 4.4? | Shivam Kumar: This issue has been resolved. You will not see it again. The problem was with the disk, which kept filling up. I have now shifted the broker to another disk.      "
SH-5412,Abrupt Increase in GRBlockLoad commands. Apraava APDCL,Success Hub,Shiva Sharma," , There’s been an abnormal spike in GRBlockLoad commands—over 50 lakh+ commands were triggered—which is causing system slowness and many commands to remain in pending state. This may lead to a potential system choke. Please look into this urgently and share your findings at the earliest. CC:-   ,   ,   ",Open,Issue,2025-04-30T16:46:43.734+0530,
SH-5411,No routing of IMG & commands are not executing ,Success Hub,Ritik Kumar,   No routing showing of meters connected on IMG after 2:40pm list attached for reference & commands are getting failed on meters connected on IMG please check cc:       ,Close,Issue,2025-04-30T16:40:46.730+0530,"Ritik Kumar: there are 31 IMG meters in total out of which only 8 meter’s routing we have: AS2475831 AS2463829 AS2475837 AS2475838 AS2475839 AS2470514 AS2470517 AS2470520 | Ritik Kumar:   can you please confirm if this issue is not related to the issue reported in:    | Pratik Thakre: Ritik in this ticket meters are not showing in routing with recently installed Gateways, I think there is some problem with routing may be IMG is affected too.  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5410,Space disk full & in routing source end point showing 10 ,Success Hub,Vivek Singh," Please check the disk is showing full, also routing for all meters after 12:40 pm today (30.04.25) are showing with source end point 10 instead of 247 attaching sheet for reference  CC:           ",Close,Issue,2025-04-30T15:30:25.745+0530,"Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support"
SH-5408,"AMI CT Meters : Required profile data from 1st to 30th April for SLA Monitoring for all installed meters ( LS, DP - Total + Validated, IP and Event)",Success Hub,Ansh Sharma,No description,Close,Service Request,2025-04-30T14:56:28.738+0530,"Satya Brat Nath:   Please share the data | Ansh Sharma:  | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5407,Exclusion adding button is not available in HES in MCL.,Success Hub,Ritik Kumar,cc :   ,BUG_Raised,Issue,2025-04-30T14:18:57.973+0530,"Ritik Kumar: there is a bug for thsi, once that will be resolved issue would be resolved."
SH-5405,Required meters having New Firmware activate (157) event occurred in NCC Aurangabad.,Success Hub,Lyba Noor,"Hi  ,We are doing the FOTA on LIFO corrupt issue meters. We have done it on many meters where we need “New Firmware activate (157)” event for validation purpose. Please refer below the meter list on which FOTA has been successfully done. To validate this, please share on which meters “New Firmware activate (157)” event occurred and received at HES. I triggered the commands yesterday for these meters. cc:     ",Close,Service Request,2025-04-30T11:31:28.606+0530,"Lyba Noor: Hi    event 157 occurred for these meters only from the given meters.   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5403,NCC Nashik | Three Phase Kushal Meters sending garbage LS packets along with correct LS packets.,Success Hub,Ayush Rajput,All three phase Kushal meters are sending garbage LS packets along with correct packets. We have checked the data in the meters and found that meters have correct data. CC:         ,Open,Issue,2025-04-30T09:55:15.478+0530,
SH-5402,Intelli PKG1&2 No hangfire not setup issues,Success Hub,Shiva Sharma,post deployment issues - KD-134,In Progress,Incident,2025-04-30T09:52:41.022+0530,Parveen Soni: Responses are pushing in MDM after re-deployment by Ayush patel. 
SH-5389,Intelli PKG7 HES Web is down ,Success Hub,Naman,,Close,Incident,2025-04-29T23:23:08.892+0530,"Automation for Jira: Confluence page created for RCA documentation - | Naman: Moving this to closure  - Web, Notifier & API are up again now. CPU Utilization had reached 100% and causing server unreachability. The server was thereafter restarted to free up locked.   Please help with the RCA for the same after the analysis."
SH-5388,HP | Share the power outage details for attached list of meters for SLA compliance,Success Hub,Ayush Rajput,"As discussed, pls share the power outage details for the attached list of meters for saving the 12hrs SLA of 17th, 18th and 19th April. For 17th - the meters which are in outage from 00:00 hours on 18th to 12:00 hours on 18th should be considered and similary for 18th and 19th. Pls combine both ESW and Events table for sharing the details. The below details are required:",Open,Service Request,2025-04-29T23:10:25.971+0530,
SH-5387,AMI 1&2 : Need to check RAW data of AP10071355,Success Hub,Lyba Noor,,In Progress,Service Request,2025-04-29T22:30:06.473+0530,"Lyba Noor: Hi    Attaching the raw data for the meter - AP10071355   | Satya Brat Nath:  can you please check and let me know whether we are getting correct data from the meter or not? | Satya Brat Nath: Please share the IP, LS and DP data from DB. Also check the RTC    | Lyba Noor: Hi    do you need any data on this ticket or should i close this?"
SH-5380,"Block Load Profile Data and Events Data (Outage, Over-Voltage, Under-Voltage) for the consumer meters and DTs",Success Hub,Lyba Noor,Project: Apraava DT to Consumer Mapping Need the following Data for the attached consumer meters and DT Meters (ignore feeder data for now) Duration: Max Possible (3-7 Days Atleast),In Progress,Service Request,2025-04-29T17:39:10.915+0530,Lyba Noor: Hi    Sharing you the events data for bijni .       | Lyba Noor: Hi    Sharing you the events data for gossaigaon.         | Lyba Noor: Hi    Sharing you the events data for Lakhipur. | Lyba Noor: Attaching the whole event data for all the meters from Nameplate from 28 to 30 April - Voltage event - (over voltage and under voltage) Outage data      
SH-5379,meters in routing but not in Site meter list,Success Hub,Lyba Noor,meters in routing but not in Site meter list.xlsx   above list of meters are in routing but not in HES site meter list please check CC-   ,Close,Issue,2025-04-29T16:40:22.468+0530,"Aashwin Karan Singh:  please check this urgently we have high pressure of never comm meters reductions from NCC management.     | Lyba Noor: Hi    As discussed these meters are out of range therefore not auto-registered. | Khushi Khari:  please add MH2415001-MH2490000 series also to the range and 101205006 delete record of this routing as it was wrongly registered meter. | Lyba Noor:  what will be the meter templateID for this series? | Khushi Khari:  11 | Lyba Noor: Hi    added the series in the table. | Lyba Noor:  101205006 - this nodeid is not found in routing or meter site table. | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5377,please share No of routing given by these meters for 28-4-2025,Success Hub,Lyba Noor,please share No of routing given by these meters for 28-4-2025,Close,Issue,2025-04-29T15:32:33.392+0530,"Lyba Noor: Hi    Attaching the sheet of routing count data for 28th April.   | Khushi Khari:  thanks | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5376,please share LS data of all the meters for last 2 weeks,Success Hub,Lyba Noor,please share LS data of all the meters for last 2 weeks list of site meters,Close,Issue,2025-04-29T15:30:41.021+0530,"Lyba Noor: Hi    Attaching the sheet of LS data.   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5375,GVPR Feeder meter Few parameters not sent in JSON: T&D environment,Success Hub,Nikhil Kumar,Expected behaviour- For feeder meters these profiles are mandatory to be available on both HES and MDM . Expected behaviour- For feeder meters these profiles are mandatory to be available on both HES and MDM,In Progress,Issue,2025-04-29T14:41:30.957+0530,
SH-5373,GR Commands stuck/ not processing,Success Hub,Parveen Soni," PFA attached status for GR commands as it is observed that around 13L commands are stuck, this is for both TCP and RF.   ",Open,Issue,2025-04-29T13:39:28.904+0530,Biplob Chutia:    FYI | Naman:  Bhaiya assigning this to you> Please move its status to review
SH-5372,please fail all the commands in pending before initiated before today(29-4-2025),Success Hub,Lyba Noor,please fail all the commands in pending before initiated before today(29-4-2025) CC   ,Close,Issue,2025-04-29T12:32:41.585+0530,"Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Lyba Noor: Hi    Failed all the pending commands which was initiated before 29th April. | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
SH-5370,Neoway NIC Firmware upgrade | Tata Power -Raipur ,Success Hub,Hitesh Jhalora,"Rectification of Neoway NIC Firmware , Base Firmware mix-up. Total NICs count is 490",Open,Issue,2025-04-29T11:33:27.465+0530,
SH-5368,Provide DB dump of Anvil Arunachal,Success Hub,Nikhil Kumar, Pls provide the DB dump (LS and DP) of Anvil Arunachal Project. CC:-     ,Close,Service Request,2025-04-29T09:29:20.418+0530,"Rajesh Kumar:  As discussed yesterday, I have still not received the requested data. Please provide it asap. CC:-      | Nikhil Kumar:   | Automation for Jira: Hi Reporter, This Ticket is now moved to Review state and will be closed after T+3 business days. Please review this ticket and re-assign if any further assistance required from App Support | Automation for Jira: Dear Reporter, The ticket is closed as no response is received in T+3 days. Please reach out to App Support if any issues or concerns."
